,grad<0,grad>0,uniform
250.0,1.0,1.0,1.0
270.0,1.0,1.0,1.0
290.0,1.0,1.0,1.0
310.0,0.52,1.0,1.0
320.0,0.52,1.0,0.68
325.0,0.52,1.0,0.6
330.0,0.52,1.0,0.52
335.0,0.52,0.92,0.52
340.0,0.52,0.8,0.52
345.0,0.48,0.64,0.52
350.0,0.08,0.52,0.52
355.0,0.04,0.52,0.52
360.0,0.04,0.52,0.52
365.0,0.04,0.52,0.52
370.0,0.04,0.52,0.52
375.0,0.04,0.52,0.44
380.0,0.04,0.52,0.04
390.0,0.04,0.52,0.04
410.0,0.04,0.04,0.04
430.0,0.04,0.04,0.04
450.0,0.04,0.04,0.04
