,grad<0,grad>0,uniform
255.0,0.0,0.0,0.28
258.0,0.0,0.02,0.14
261.0,0.03,0.01,0.28
264.0,0.02,0.5,0.27
267.0,0.5,0.15,0.76
270.0,0.38,0.02,0.64
273.0,0.51,0.76,0.75
276.0,0.39,0.63,0.75
279.0,0.28,1.0,0.76
282.0,0.76,0.63,0.94
285.0,1.0,0.88,0.89
288.0,0.64,1.0,0.76
291.0,0.76,1.0,1.0
294.0,0.88,1.0,1.0
