240.0	250.0	260.0	270.0	280.0	290.0	300.0	310.0	320.0	
0.0	0.0	0.0	1.0	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	1.0	0.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.04	0.52	0.04	0.56	1.0	1.0	
0.0	0.0	0.0	1.0	0.52	0.04	1.0	1.0	1.0	
0.0	0.0	1.0	0.04	0.0	1.0	0.52	1.0	1.0	
0.04	0.0	0.0	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.52	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	1.0	1.0	0.56	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.52	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.52	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.52	1.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.04	0.0	0.04	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	1.0	0.04	0.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.04	0.04	0.52	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.0	1.0	1.0	1.0	1.0	1.0	
0.04	0.04	0.0	0.04	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.0	0.04	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	1.0	1.0	0.36	1.0	1.0	1.0	
0.0	0.0	0.0	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.04	0.04	1.0	1.0	1.0	1.0	1.0	
0.0	0.0	0.0	0.2	0.04	1.0	1.0	1.0	1.0	
